Name,Category,ItemType,TrackSerials,SerialPrefix,SerialNextNumber,SerialSuffix,Description,UnitPrice,Markup,IsFixedMarkup,IsTaxInclusivePrice,Cost,SpecialTaxRate,LastVendor,VendorProductCode,VendorPrice,BarCode,ReorderPoint,ReorderQuantity,DefaultLocation,DefaultSublocation,Uom,SalesUom,SalesUomRatio1,SalesUomRatio2,PurchasingUom,PurchasingUomRatio1,PurchasingUomRatio2,ProductLength,ProductWidth,ProductHeight,ProductWeight,Remarks,SKU,Machine S/No,IsActive,,
biolyte calibration A,BIOLYTE,Stockable,FALSE,,,,BAUR,0,-100,FALSE,FALSE,24375,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BIOLYTE SAMPLE CUPS, 1000PC ",BIOLYTE,Stockable,FALSE,,,,1000pc,0,,FALSE,FALSE,0,,BIOLYTE,DCLSKU1278,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,packs,,1,1,,1,1,,,,,,DCLSKU1278,,TRUE,,
"BIOLYTE SAMPLE CUPS, 500PC ",BIOLYTE,Stockable,FALSE,,,,500pc,0,,FALSE,FALSE,0,,BIOLYTE,DCLSKU1279,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,packs,,1,1,,1,1,,,,,,DCLSKU1279,,TRUE,,
BIOLYTE SAMPLE PROBE,BIOLYTE,Stockable,FALSE,,,,BIOLYTE SAMPLE PROBE,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOMEDICAL WASTE DISPOSAL,CELITRON,Stockable,FALSE,,,,"Make: Celitron
Model: ISS AC-575 Premium
Capacity: 50kg/Hour
",37500000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIONEXIA  H. pylori Ag,BioMérieux,Stockable,FALSE,,,,"Brand: Biomerieux

BIONEXIA  H.pylori Ag is a rapid stool antigen test that concentrates in a small cassette all of bioMérieux’s expertise in microbiology. It provides a quick first-line answer for optimal patient management.
•	Non-invasive method
•	Simple, user-friendly process
•	Result available after only 10 minutes
•	State-of-the-art performances
•	25 cassette in a kit
",214200,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOS BATTERY (INTERNAL BATTERY ) FOR MSC+ MACHINE ,ABOTT,Stockable,FALSE,,,,APHAERESIS BIOS BATTERY,85720,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOSAFETY CABINET,BIOBASE,Stockable,FALSE,,,,"BIOSAEFTY CABINET, WITH COMPLETE ACCESSORIES,  Screw with Nut  8pcs
 Screw               4pcs
 Allen Key          1pc",2900000,425.4961549,FALSE,FALSE,551859.4138,,"SunShine Medical Equipment Co., Ltd.",MODEL: 11231BBC86,1430,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BIOSAFETY CABINET KEY, UNT  ",BIOBASE,Stockable,FALSE,,,,unt ,0,,FALSE,FALSE,0,,BIOBASE Group,ar22jr-220,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,ar22jr-220,,TRUE,,
BIOSAN Magnetic Stirrer,BIOSAN,Stockable,FALSE,,,,"Make: Biosan
Mo  del: MR-12
Country of Origin: Latvia
Mixing frequency range: 1–99 oscill/min (increment 1 oscill/min)
Tilt angle range (for 1–50 oscill/min): 0°–10° (increment 1°)
Fixed tilt angle (for 51–99 oscill/min): 10°
",66750,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
Biosan Microspin 12,BIOSPAN,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BIOSAN MINISPIN  MINICENTRIFUGE, MINI ",ALLIANCE GLOBAL(AGBL) REAGENTS,Stockable,FALSE,,,,mini,0,,FALSE,FALSE,0,,ALLIANCE GLOBAL,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
Biosan Vortex Mixer,BIOSAN,Stockable,FALSE,,,,"Model: V-1plus
High speed/rpm
make: Biosan",567000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA 3.2% SODIUM CITRATE VACUTAINER TUBES 4ML,BIOTA,Stockable,FALSE,,,,BIOTA 3.2% SODIUM CITRATE VACUTAINER TUBES 4ML 1200 PCS/BOX,0,-100,FALSE,FALSE,27130.43478,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PA9SC4,62.4,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA EDTA K2 VACUTAINER TUBE 4M,BIOTA,Stockable,FALSE,,,,BIOTA EDTA K2 VACUTAINER TUBE 4M ,0,-100,FALSE,FALSE,23478.26084,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PAEK4,54,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA ESR VACUTAINER TUBE 4ML,BIOTA,Stockable,FALSE,,,,BIOTA ESR VACUTAINER TUBE 4ML,0,-100,FALSE,FALSE,24521.73913,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA PS4SC4,56.4,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA GEL /CLOT ACTIVATOR VACUTAINER TUBE 5ML,BIOTA,Stockable,FALSE,,,,BIOTA GEL /CLOT ACTIVATOR VACUTAINER TUBE 5ML 1200/box,0,-100,FALSE,FALSE,37565.21739,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PBGC5,86.4,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA GLUCOSE VACUTAINER TUBES,BIOTA,Stockable,FALSE,,,,BIOTA GLUCOSE VACUTAINER TUBES,0,-100,FALSE,FALSE,24521.73913,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PAP4,56.4,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA K3 EDTA MICROTAINER TUBE,BIOTA,Stockable,FALSE,,,,BIOTA K3 EDTA MICROTAINER TUBE,0,,FALSE,FALSE,0,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOT-MAE3K0.5,195,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA LITHIUM HEPARIN VACUTAINER TUBES  6ml ,BIOTA,Stockable,FALSE,,,,BIOTA LITIUM HEPARIN VACUTAINER TUBES  6ml 1200 PCS/BOX ,0,-100,FALSE,FALSE,49565.21739,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PBLH6,114,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA MULTI SAMPLE NEEDLE(21G),BIOTA,Stockable,FALSE,,,,BIOTA MULTI SAMPLE NEEDLE(21G)5000PCS/PK,0,-100,FALSE,FALSE,86956.52174,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PN21,200,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTA PLAIN VACUTAINER TUBE 6ML,BIOTA,Stockable,FALSE,,,,BIOTA PLAIN VACUTAINER TUBE 6ML 1200PCS/BOX,0,-100,FALSE,FALSE,27130.43478,,BIOTA GRUP SAGLIK SISTEMLERI SAN.TIC.LTD.STI.,BIOTA-PBNR6,62.4,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BIOTAB,SUNSHINE MEDICAL,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BIOTECH INCUBATOR, UNT ",SUNSHINE MEDICAL,Stockable,FALSE,,,,unt,0,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,DCLCM1006,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
Bishop Shanahan Hosp Nsukka,BIOSAN,Stockable,FALSE,,,,3 times PPM plus unlimited service calls,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
Bishop Shanahan Hospital Nsukka,LABJENIKS RGT & MACHINES,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
Bishop Shinahan Nsuka,MINI VIDAS ,Stockable,FALSE,,,,2 times PPM plus unlimited service calls,1983610,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BJPX-C50 BIOBASE INCUBATOR,BIOBASE,Stockable,FALSE,,,,"Make: Biobase
Model: BJPX-C50
Country of Origin: Shandong, China (Mainland)
Features: 
Weight: 80Kg
Volume: 50L
Power(W): 300W
Temp. fluctuation: ≤ ±0.2℃
Dimension(L*W*H): 560*567*840
Temp. range: RT +5 ~ 65 ℃
",0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BJPX-P10 BIOBASE PLATELET INCUBATOR(10 PIECES),BIOBASE,Stockable,FALSE,,,,BJPX-P10 BIOBASE PLATELET INCUBATOR(10 PIECES),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BJPX-P10-II BIOBASE PLATELET INCUBATOR(15 PIECES),BIOBASE,Stockable,FALSE,,,,BJPX-P10-II BIOBASE PLATELET INCUBATOR (15PIECES),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BJPX-P20-II BIOBASE PLATELET INCUBATOR(25 PIECES),BIOBASE,Stockable,FALSE,,,,BJPX-P20-II BIOBASE PLATELET INCUBATOR,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BK-FD10PT BIOBASE FREEZE DRYER,BIOBASE,Stockable,FALSE,,,,"Make: Biobase Model: BK-FD10PT Temp: -80°C
Type: Multi-pipeline and top-press type(-56oC)
",3690000,,FALSE,FALSE,0,,BIOBASE Group,MODEL: BK-FD12PT,3250,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BK-FD12PT BIOBASE DRYER (-80),BIOGENEX,Stockable,FALSE,,,,BK-FD12PT BIOBASE DRYER (-80),0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BK-FD12PT BIOBASE FREEZE DRYER(-55),BIOBASE,Stockable,FALSE,,,,BK-FD12PT BIOBASE FREEZE DRYER(-55),0,-100,FALSE,FALSE,978260.8696,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLACK  COLOURED PEDAL WASTE BIN,BLBC CONCEPT,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLANK DEVICE,Veda lab,Stockable,FALSE,,,,BLANK DEVICE,0,,FALSE,FALSE,0,,,,,DCLCCR 1267,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOCK CONNECTOR,ELITECH SPARE PARTS,Stockable,FALSE,,,,,34538.4,0,FALSE,FALSE,34538.4,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD ANALYSIS SYSTEM,ISTAT,Stockable,FALSE,,,,"MODEL: Alere epoc/ISTAT
Measured Parameters: pH, pCO2, pO2, Na+, K+, Ca++, Cl-, Glu, Lac, Crea, Hct
Calculated Parameters: cHgb, cHCO3, cTCO2, BE(ecf), BE(b), cSO2, eGFR, eGFR-a
",3800000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD ANALYZER,Adaltis,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,BANJ MEDICAL SUPPLIES,BANJ-BALZ,2000000,DCLTR003,0,,,,,,1,1,,1,1,,,,,,BANJ-BALZ,,TRUE,,
BLOOD BAG DOUBLE 450ML,SUNSHINE MEDICAL,Stockable,FALSE,,,,450 ML,10800,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD BAG TUBE SEALER,LASANY,Stockable,FALSE,,,,BLOOD BAG TUBE SEALER,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BLOOD BAG, DOUBLE  ",Axiom,Stockable,FALSE,,,,double ,0,,FALSE,FALSE,0,,AXIOM,DCLSKU1282,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1282,,TRUE,,
"BLOOD BAG, TRIPLE ",Axiom,Stockable,FALSE,,,,triple,0,,FALSE,FALSE,0,,AXIOM,DCLSKU1283,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1283,,TRUE,,
BLOOD BANK,BIOBASE,Stockable,FALSE,,,,"make: biobase, model: MD Mini, vol: 150litres, recorder: Digital, Alarm: audio-visual",750000,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD BANK REFRIGERATOR MODEL: DR-200B,LABJENIKS RGT & MACHINES,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BLOOD BANK SCALE,UNT   ",LASANY,Stockable,FALSE,,,,"Make: Lassny
Model: IBBS
Country of Manufacture: India

",0,,FALSE,FALSE,0,,,,,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
"BLOOD BANK, UNT ",NUVE,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,Nuve,KN 294,0,DCLCM1019,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,KN 294,,TRUE,,
Blood Collection Monitor,LABJENIKS RGT & MACHINES,Stockable,FALSE,,,,"Make: Labjeniks
Model: BCM-10
Operations: Measures and displays blood flow rate, volume collected, weight, and auto bleeding stops when the required volume is collected.
",0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BLOOD COLLECTION MONITOR,   UNIT ",BAUR,Stockable,FALSE,,,,  UNIT,0,,FALSE,FALSE,0,,BAUR BIOMEDICAL ELECTRONICS,DCLSKU1518,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1518,,TRUE,,
BLOOD COLLECTION TUBE 2.7ML,SUNSHINE MEDICAL,Stockable,FALSE,,,,COAGULATION TOP VAC ,0,-100,FALSE,FALSE,35000,,ARIBEN LIMITED,,35000,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
blood counting chamber-neubauer improved,ISOLAB,Stockable,FALSE,,,,blood counting chamber - neubauer improved,0,-100,FALSE,FALSE,13305.26316,,,,,DCLCH1053,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD DONOR COUCH,SUNSHINE MEDICAL,Stockable,FALSE,,,,"Make: COMBED
Model: DH-XD14
Body: Leather
",1389753,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DH-XD14,,TRUE,,
BLOOD GIVING SET,BIOGENEX,Stockable,FALSE,,,,BLOOD GIVING SET,0,-100,FALSE,FALSE,3500,,KINGS SCIENCE WARES NIGERIA LTD,,3500,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD GLUCOSE ,VERI-Q,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
blood grouping tile,SUNSHINE MEDICAL,Stockable,FALSE,,,,,3800,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,0,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
BLOOD LANCETS,SUNSHINE MEDICAL,Stockable,FALSE,,,,28G BLUE,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BLOOD MIXER, UNIT ",DEA,Stockable,FALSE,,,,"BLOOD MIXER, KJMR-IV",0,,FALSE,FALSE,0,,DEA,KJMR-IV,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,KJMR-IV,,TRUE,,
BluCapp centrifuge tubes,Haier blood Bank,Stockable,FALSE,,,,"50mL, pre-sterile, 20x25 pcs.",69300,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BLUEGATE UPS,SUNSHINE MEDICAL,Stockable,FALSE,,,,BLUEGATE UPS,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
Bluetooth Blood Pressure Monitor WB202,BIOLYTE,Stockable,FALSE,,,,Bluetooth Blood Pressure Monitor WB202,0,-100,FALSE,FALSE,13913.04348,,"Guangdong Biolight Meditech Co.,Ltd.",WB202,32,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BLUNT FILL NEEDLE 18G, 100PC/PK ",BD,Stockable,FALSE,,,,100PC/PK,0,,FALSE,FALSE,0,,BD International,,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
"BOARD DISPENSER OPTO, PC ",ELITECH SPARE PARTS,Stockable,FALSE,,,,BOARD DISPENSER OPTO 6001-459,124862.4,31.98530906,FALSE,FALSE,94603.25614,,Elitech Group B.V (Instruments/spare parts),6001-459,151,DCLSP034,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
BOARD FSA-SENS-PHOTOMETER SENSOR WITHOUT DIODE,ELITECH SPARE PARTS,Stockable,FALSE,,,,"BOARD FSA-SENS-PHOTOMETER SENSOR, EEE20-117",0,-100,FALSE,FALSE,31578.94737,,Elitech Group B.V (Instruments/spare parts),EEE20-117,60,DCLSP331,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BOARD PROTECTION KIT, P,.C ",MYTHIC SPARE PARTS,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,Orphee SA,,0,DCLSP123,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
"BONE MARROW ASPIRATION NEEDLE, PCS ",SUNSHINE MEDICAL,Stockable,FALSE,,,,pcs,14000,0,FALSE,FALSE,14000,,"SunShine Medical Equipment Co., Ltd.",,0,DCLSP137,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
BONE MARROW TREPHINE NEEDLE(SHORT),BIOLYTE,Stockable,FALSE,,,,,0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BONNEY STOPES UTERINE FORCEPS, 250MM, WITHOUT TEETH",SURGIMAX,Stockable,FALSE,,,,"Bonney Stopes uterine forceps, 250mm, without teeth (For holding the cervix without trauma to the cervical mucosa) Stainless steel, Medical Grade, Brand:Surgimax  Model No:05-950-17  Colour:stainless",0,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,05-950-17,,TRUE,,
BOOD BAG 450ML QUADRIPPLE,Axiom,Stockable,FALSE,,,,QUADRIPPLE,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BOROSILICATE GLASS, 1000ML ",LASANY,Stockable,FALSE,,,,LASSANY REAGENT BOTTLE 1000ml,0,,FALSE,FALSE,0,,LASSANY,DCLSKU1084,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1084,,TRUE,,
"BOSCH 12 BUCKET CENTRIFUGE, UNIT ",BOSCH,Stockable,FALSE,,,,"BOSCH BUCKET CENTRIFUGE, BIOFUGE 200 12 bucket",560000,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,BIOFUGE 200,0,dclch1005,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,BIOFUGE 200,,TRUE,,
"BOSCH BENCH TOP CENTRIFUGE, 24 BUCKET ",SUNSHINE MEDICAL,Stockable,FALSE,,,,"BIOFUGE-200, 24 BUCKETS",480000,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,BIOFUGE 200,,TRUE,,
Bosch Centrifuge,BOSCH,Stockable,FALSE,,,,"Bosch Centrifuge 
24  bulket ",0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BOSCH DIGITAL CENTRIFUGE, UNIT ",BOSCH,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DSC-3015D,,TRUE,,
"BOSCH PLASMA THAWING BATH, UNIT",BOSCH,Stockable,FALSE,,,,BOSCH PLASMA THAWING BATH,0,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,DCLSKU1490,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1490,,TRUE,,
"BOSCH PLATELET SHAKER, UNT ",BOSCH,Stockable,FALSE,,,,unt,0,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,DCLSKU1495,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,pcs.,,1,1,,1,1,,,,,,DCLSKU1495,,TRUE,,
"BOSCH SPECTROPHOTOMER,",BOSCH,Stockable,FALSE,,,,"SPECTROPHOTOMETER, SP-2000, 340-1000NM.",795000,,FALSE,FALSE,0,,"SunShine Medical Equipment Co., Ltd.",,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,SP-2000,,TRUE,,
"BOSCH VORTEX MIXER, UNIT ",BOSCH,Stockable,FALSE,,,,unit,0,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,vm-1000,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,vm-1000,,TRUE,,
"BOSCH WATER BATH 14L, 14 L ",BOSCH,Stockable,FALSE,,,,"BOSCH WATER BATH 14L, WB-500",495000,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,WB-500,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,WB-500,,TRUE,,
"BOSCH WESTERN BLOT SHAKER, UNIT   ",BOSCH,Stockable,FALSE,,,,BOSCH WESTERN BLOT SHAKER ,0,,FALSE,FALSE,0,,BOSCH BIOMEDICAL,DCLSKU1493,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,s17-100,,TRUE,,
BOTTLE FOR WASHING SOLUTION,ALLIANCE GLOBAL(AGBL) REAGENTS,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
"BOTTLE PE(30 PCS), 25ML ",Elitech,Stockable,FALSE,,,,25ml,0,,FALSE,FALSE,0,,Elitech Distribution (Reagents),,0,,10,20,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
"BOTTLE SENSOR CABLE, PC  ",APDIA,Stockable,FALSE,,,,pc ,0,,FALSE,FALSE,0,,APDIA,10024,0,DCLSP220,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,10024,,TRUE,,
"BOTTLE TOP DISPENSER, 0.5-5ML ",LASANY,Stockable,FALSE,,,,0.5-5ml,0,,FALSE,FALSE,0,,LASSANY,DCLSKU1088,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1088,,TRUE,,
"BOTTLE TOP DISPENSER, 1-10ML ",LASANY,Stockable,FALSE,,,,1-10ml,0,,FALSE,FALSE,0,,LASSANY,DCLSKU1089,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,DCLSKU1089,,TRUE,,
Bouins Fixative,MINI VIDAS ,Stockable,FALSE,,,,POLY SCIENCE USA,80000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BOVINE ALBUMIN,LAB 21 HEALTHCARE,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,,,,,0,,,,pcs.,,1,1,,1,1,,,,,,,,TRUE,,
"BOXED AC-184 WITHOUT CLEANING , PK",Elitech,Stockable,FALSE,,,,pk   ,0,,FALSE,FALSE,0,,Elitech Distribution (Reagents),,0,,,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
BP Apparatus,Fine Care,Stockable,FALSE,,,,"Brand: Accosson,Model: Dekat 0125
",69000,,FALSE,FALSE,,,,,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
BP132 MS1881T SPECIAL TOURNIQUET CUFF,MINDRAY,Stockable,FALSE,,,,,0,,FALSE,FALSE,0,,Mindray,,0,DCLSP258,0,,"DCL House, Plot 1299 Fumilayo Ransome Kuti Way, Area 3, PMB 690 Garki, Abuja",,,,1,1,,1,1,,,,,,,,TRUE,,
"BR315RF 315L,10 TO-22 freezer",SUNSHINE MEDICAL,Stockable,FALSE,,,,"BR315RF 315L,10 TO-22 freezer",0,-100,FALSE,FALSE,256521.7391,,"SunShine Medical Equipment Co., Ltd.",,,,0,,,,,,1,1,,1,1,,,,,,,,TRUE,,
